human_readable_date,machine_readable_date
nov 11 2012,2012-11-11
28 january 2009,2009-01-28
5/3/82,1982-05-03
16 dec 2014,2014-12-16
tue 8 mar 2016,2016-03-08
8/14/18,2018-08-14
3 june 2019,2019-06-03
monday september 6 2004,2004-09-06
friday june 27 1980,1980-06-27
4 march 1999,1999-03-04
sunday october 2 1988,1988-10-02
23/01/1984,1984-01-23
march 2 1998,1998-03-02
apr 8 1973,1973-04-08
21 march 1983,1983-03-21
november 3 1995,1995-11-03
2 november 2017,2017-11-02
saturday april 8 1989,1989-04-08
mon 5 mar 1990,1990-03-05
18 may 2019,2019-05-18
tuesday april 12 2016,2016-04-12
17 march 2011,2011-03-17
3/1/79,1979-03-01
wednesday june 16 2004,2004-06-16
tuesday march 20 1990,1990-03-20
30 january 1993,1993-01-30
december 22 2001,2001-12-22
january 21 2013,2013-01-21
aug 13 1987,1987-08-13
may 19 2010,2010-05-19
february 27 1991,1991-02-27
28 september 2009,2009-09-28
nov 1 1992,1992-11-01
4/12/86,1986-04-12
friday september 9 2016,2016-09-09
april 12 1994,1994-04-12
25 december 1980,1980-12-25
10/23/97,1997-10-23
2/14/07,2007-02-14
mon 26 jul 2010,2010-07-26
july 12 2001,2001-07-12
sunday 3 november 1985,1985-11-03
monday june 25 2012,2012-06-25
tuesday november 15 1977,1977-11-15
sat 21 oct 1978,1978-10-21
15 march 2003,2003-03-15
nov 10 1975,1975-11-10
4/15/01,2001-04-15
april 4 2006,2006-04-04
february 28 1998,1998-02-28
march 29 2003,2003-03-29
19 june 1985,1985-06-19
sunday august 15 2010,2010-08-15
mar 13 1977,1977-03-13
september 29 2012,2012-09-29
thursday february 13 2014,2014-02-13
apr 28 1988,1988-04-28
april 20 2019,2019-04-20
september 19 2006,2006-09-19
sep 8 1991,1991-09-08
fri 6 oct 2017,2017-10-06
14/03/2011,2011-03-14
october 20 1980,1980-10-20
16 june 1977,1977-06-16
14 august 1996,1996-08-14
07/12/2019,2019-12-07
wednesday february 17 2016,2016-02-17
3 april 2010,2010-04-03
27 september 2011,2011-09-27
11/04/1998,1998-04-11
may 16 1982,1982-05-16
sunday april 20 2003,2003-04-20
december 4 2020,2020-12-04
2 february 2013,2013-02-02
thursday october 21 1971,1971-10-21
july 1 2019,2019-07-01
18/01/1972,1972-01-18
saturday 1 april 2000,2000-04-01
mon 17 jul 2000,2000-07-17
friday june 23 1978,1978-06-23
sun 7 feb 1999,1999-02-07
21/01/1976,1976-01-21
20 february 1994,1994-02-20
5/5/20,2020-05-05
oct 26 2010,2010-10-26
november 20 2011,2011-11-20
tue 19 aug 1980,1980-08-19
29 december 1984,1984-12-29
21 may 1981,1981-05-21
14 march 1992,1992-03-14
3 june 1974,1974-06-03
june 21 2019,2019-06-21
wednesday may 9 1990,1990-05-09
tuesday june 3 2008,2008-06-03
mon 30 apr 1973,1973-04-30
jul 18 1981,1981-07-18
8 may 1980,1980-05-08
september 5 1970,1970-09-05
december 8 1975,1975-12-08
sun 13 jul 2003,2003-07-13
17 january 1978,1978-01-17
apr 19 2016,2016-04-19
08/10/1970,1970-10-08
nov 12 2012,2012-11-12
february 18 2010,2010-02-18
nov 7 1995,1995-11-07
friday march 19 1993,1993-03-19
sat 1 oct 1977,1977-10-01
may 20 2004,2004-05-20
22 february 1988,1988-02-22
october 18 2011,2011-10-18
sep 3 1993,1993-09-03
fri 15 may 1998,1998-05-15
10 feb 2010,2010-02-10
jun 10 2013,2013-06-10
28 september 1990,1990-09-28
december 7 1988,1988-12-07
27 may 1974,1974-05-27
june 19 1992,1992-06-19
28/08/2015,2015-08-28
11 july 1972,1972-07-11
10 oct 1970,1970-10-10
8 apr 1990,1990-04-08
wednesday november 27 2019,2019-11-27
27 may 2014,2014-05-27
june 15 2015,2015-06-15
30/09/1976,1976-09-30
october 11 1988,1988-10-11
sunday october 21 2018,2018-10-21
july 26 2008,2008-07-26
sunday august 7 1994,1994-08-07
sun 16 nov 1980,1980-11-16
19 april 1973,1973-04-19
14/10/1988,1988-10-14
dec 24 1989,1989-12-24
5 october 2006,2006-10-05
11 july 2020,2020-07-11
thursday december 1 2016,2016-12-01
april 19 1985,1985-04-19
6/24/00,2000-06-24
sep 17 1983,1983-09-17
mar 28 1974,1974-03-28
april 26 1989,1989-04-26
20 oct 2010,2010-10-20
30 august 1990,1990-08-30
oct 28 1992,1992-10-28
wednesday may 2 1979,1979-05-02
january 18 1992,1992-01-18
13 december 2002,2002-12-13
jul 30 1999,1999-07-30
aug 5 2008,2008-08-05
jun 3 2020,2020-06-03
28 april 1986,1986-04-28
october 12 2003,2003-10-12
february 15 2007,2007-02-15
june 14 2001,2001-06-14
may 16 1981,1981-05-16
3 november 1971,1971-11-03
9 august 2019,2019-08-09
thursday 29 april 1993,1993-04-29
17/09/1974,1974-09-17
june 18 2018,2018-06-18
thursday june 1 2006,2006-06-01
jan 1 2007,2007-01-01
4 january 1987,1987-01-04
02/09/2008,2008-09-02
22/05/1987,1987-05-22
december 14 1971,1971-12-14
dec 25 1994,1994-12-25
21 december 2007,2007-12-21
september 25 1982,1982-09-25
18 jun 1996,1996-06-18
sun 25 feb 2001,2001-02-25
december 27 1984,1984-12-27
april 7 2015,2015-04-07
august 20 2020,2020-08-20
17 march 1970,1970-03-17
august 21 2005,2005-08-21
september 9 1973,1973-09-09
tuesday february 2 1971,1971-02-02
2 january 2009,2010-01-02
december 8 1976,1976-12-08
18 april 1998,1998-04-18
april 27 1991,1991-04-27
tuesday january 26 1971,1971-01-26
thu 17 nov 2005,2005-11-17
friday 23 august 1974,1974-08-23
oct 18 1976,1976-10-18
thursday november 2 2000,2000-11-02
25 october 1983,1983-10-25
jul 8 2015,2015-07-08
sun 16 aug 1987,1987-08-16
12/06/1993,1993-06-12
20 august 1981,1981-08-20
november 19 1989,1989-11-19
15 november 2000,2000-11-15
mar 11 1976,1976-03-11
5 may 1997,1997-05-05
tuesday june 8 1982,1982-06-08
5 october 1986,1986-10-05
1 dec 2004,2004-12-01
13 december 2005,2005-12-13
sep 11 1993,1993-09-11
sat 30 jan 2010,2010-01-30
10 june 2014,2014-06-10
february 21 1976,1976-02-21
october 21 2003,2003-10-21
may 29 1990,1990-05-29
july 10 2008,2008-07-10
2 october 1983,1983-10-02
19/04/1991,1991-04-19
jun 2 1982,1982-06-02
sat 7 jun 2008,2008-06-07
6 may 1986,1986-05-06
20 december 1990,1990-12-20
december 11 2018,2018-12-11
wed 27 sep 1989,1989-09-27
19/01/1988,1988-01-19
february 11 1977,1977-02-11
oct 10 1970,1970-10-10
1/23/74,1974-01-23
saturday april 25 1998,1998-04-25
wednesday july 21 1993,1993-07-21
18 nov 1996,1996-11-18
sun 9 oct 2016,2016-10-09
jul 17 1977,1977-07-17
january 14 1972,1972-01-14
12/12/11,2011-12-12
may 4 1987,1987-05-04
oct 24 1989,1989-10-24
april 22 1978,1978-04-22
june 23 1981,1981-06-23
5 february 2013,2013-02-05
monday 16 february 1987,1987-02-16
august 14 2000,2000-08-14
jul 18 1998,1998-07-18
jan 23 1986,1986-01-23
9 december 2002,2002-12-09
friday may 1 2015,2015-05-01
8 november 1995,1995-11-08
friday july 23 1993,1993-07-23
july 17 1993,1993-07-17
monday 26 october 2020,2020-10-26
29/03/2019,2019-03-29
thursday june 20 1974,1974-06-20
december 19 1990,1990-12-19
20 october 1978,1978-10-20
oct 13 2006,2006-10-13
22/07/1996,1996-07-22
jan 20 1991,1991-01-20
20 march 1970,1970-03-20
october 25 1982,1982-10-25
3 august 1975,1975-08-03
december 10 2020,2020-12-10
january 19 1996,1996-01-19
10 dec 1999,1999-12-10
24 apr 1978,1978-04-24
23 feb 1981,1981-02-23
30/07/2013,2013-07-30
22 january 1978,1978-01-22
june 3 1971,1971-06-03
february 26 1973,1973-02-26
16 august 1980,1980-08-16
march 20 2003,2003-03-20
wednesday november 25 2015,2015-11-25
december 19 1987,1987-12-19
wednesday may 31 2000,2000-05-31
18/10/2007,2007-10-18
sun 14 mar 1971,1971-03-14
march 12 2018,2018-03-12
september 24 1984,1984-09-24
18 september 1985,1985-09-18
wednesday 23 october 1974,1974-10-23
june 24 2007,2007-06-24
feb 20 2001,2001-02-20
15 january 2000,2000-01-15
thursday april 17 2003,2003-04-17
23 november 1985,1985-11-23
10 jan 1981,1981-01-10
20 june 2004,2004-06-20
wednesday august 18 1999,1999-08-18
jul 26 1990,1990-07-26
october 26 1989,1989-10-26
november 26 1993,1993-11-26
6 june 1999,1999-06-06
28 may 1974,1974-05-28
june 14 2006,2006-06-14
2/20/79,1979-02-20
13 march 2016,2016-03-13
apr 17 1979,1979-04-17
6/4/96,1996-06-04
1 july 1971,1971-07-01
thursday october 28 1982,1982-10-28
saturday september 25 2004,2004-09-25
25/07/2012,2012-07-25
26 mar 2004,2004-03-26
october 9 2002,2002-10-09
22 june 1984,1984-06-22
april 3 1987,1987-04-03
12 may 1987,1987-05-12
august 6 2003,2003-08-06
7/14/15,2015-07-14
tuesday may 21 2002,2002-05-21
22/06/1973,1973-06-22
friday april 10 2009,2009-04-10
february 20 2017,2017-02-20
monday november 29 1971,1971-11-29
16 apr 1995,1995-04-16
8 august 1996,1996-08-08
13 apr 1984,1984-04-13
thursday august 2 2018,2018-08-02
mar 24 2017,2017-03-24
25 apr 1974,1974-04-25
july 25 1976,1976-07-25
thursday 13 june 1996,1996-06-13
13 june 2016,2016-06-13
july 30 2006,2006-07-30
april 5 2007,2007-04-05
monday 17 october 1994,1994-10-17
november 5 1979,1979-11-05
apr 5 2005,2005-04-05
sunday 11 january 1976,1976-01-11
16/03/1985,1985-03-16
september 21 1970,1970-09-21
06/11/2002,2002-11-06
15/09/1992,1992-09-15
monday february 19 1996,1996-02-19
december 21 1990,1990-12-21
august 7 1978,1978-08-07
friday october 3 1975,1975-10-03
february 9 2005,2005-02-09
december 26 1975,1975-12-26
3 august 1981,1981-08-03
7 august 1996,1996-08-07
february 13 2015,2015-02-13
21/05/2003,2003-05-21
saturday august 21 1982,1982-08-21
september 25 1987,1987-09-25
2 april 1992,1992-04-02
october 12 2002,2002-10-12
march 28 1976,1976-03-28
april 16 2002,2002-04-16
5 october 2003,2003-10-05
october 6 2012,2012-10-06
13 may 1996,1996-05-13
friday july 24 2020,2020-07-24
19 march 1976,1976-03-19
1 july 1980,1980-07-01
9 dec 2014,2014-12-09
17 may 2002,2002-05-17
apr 27 1998,1998-04-27
october 18 1990,1990-10-18
february 14 1999,1999-02-14
19 august 1976,1976-08-19
sat 7 feb 1981,1981-02-07
5/30/03,2003-05-30
25 february 1975,1975-02-25
jul 16 2013,2013-07-16
jan 26 1991,1991-01-26
tuesday september 28 1976,1976-09-28
march 8 2015,2015-03-08
june 10 1988,1988-06-10
may 15 1990,1990-05-15
sunday january 31 1999,1999-01-31
15 august 1993,1993-08-15
friday february 27 1976,1976-02-27
june 14 1990,1990-06-14
8/8/96,1996-08-08
sep 6 2011,2011-09-06
2 february 2011,2011-02-02
26 january 2010,2010-01-26
8 august 2011,2011-08-08
23 february 1992,1992-02-23
oct 13 1980,1980-10-13
6 december 1978,1978-12-06
dec 1 2010,2010-12-01
january 29 2018,2018-01-29
5 september 1992,1992-09-05
thursday may 12 1988,1988-05-12
12/12/2004,2004-12-12
sunday 9 february 1997,1997-02-09
22 may 1991,1991-05-22
august 25 1993,1993-08-25
mar 10 2009,2009-03-10
april 11 1983,1983-04-11
thu 11 oct 2018,2018-10-11
01/07/2006,2006-07-01
13 february 2009,2009-02-13
november 18 1998,1998-11-18
tuesday november 11 1986,1986-11-11
february 20 2014,2014-02-20
16/04/2017,2017-04-16
friday may 11 2018,2018-05-11
mar 25 1989,1989-03-25
8 september 1980,1980-09-08
3 february 1972,1972-02-03
december 14 1970,1970-12-14
oct 14 2015,2015-10-14
5 november 2015,2015-11-05
july 25 2007,2007-07-25
11 january 2004,2004-01-11
fri 28 apr 1989,1989-04-28
april 25 1997,1997-04-25
10 june 1987,1987-06-10
sunday october 23 1994,1994-10-23
10 april 2004,2004-04-10
december 1 2013,2013-12-01
2/6/72,1972-02-06
sunday january 17 1993,1993-01-17
friday 5 september 2008,2008-09-05
saturday january 1 2000,2000-01-01
thursday may 9 1996,1996-05-09
monday 28 january 2019,2019-01-28
march 23 1983,1983-03-23
april 23 1984,1984-04-23
friday july 24 1992,1992-07-24
february 5 1994,1994-02-05
saturday november 2 1985,1985-11-02
may 13 1982,1982-05-13
5 november 1998,1998-11-05
mon 29 jun 2020,2020-06-29
wednesday december 1 1976,1976-12-01
23 march 2004,2004-03-23
6 august 2015,2015-08-06
8 july 2010,2010-07-08
thursday november 1 2001,2001-11-01
sunday 10 december 1978,1978-12-10
15 august 2001,2001-08-15
8 august 2012,2012-08-08
saturday 11 july 1998,1998-07-11
monday 15 july 1985,1985-07-15
january 13 1981,1981-01-13
may 21 1972,1972-05-21
2 november 1974,1974-11-02
thursday december 15 2005,2005-12-15
wednesday september 23 1987,1987-09-23
05/03/2008,2008-03-05
16 march 1972,1972-03-16
8/15/06,2006-08-15
25 march 1993,1993-03-25
3/25/79,1979-03-25
wednesday 17 december 2014,2014-12-17
monday 11 august 1986,1986-08-11
sep 1 1973,1973-09-01
thursday december 18 2014,2014-12-18
13 july 1984,1984-07-13
20 mar 2000,2000-03-20
jun 18 2004,2004-06-18
monday april 17 1989,1989-04-17
31 january 2020,2020-01-31
january 12 2008,2008-01-12
oct 23 2010,2010-10-23
16 feb 1993,1993-02-16
6/3/06,2006-06-03
10 january 1993,1993-01-10
friday july 25 2014,2014-07-25
monday october 10 1983,1983-10-10
november 1 1981,1981-11-01
wednesday november 15 1972,1972-11-15
wednesday 7 september 1994,1994-09-07
fri 14 oct 2005,2005-10-14
december 27 1990,1990-12-27
31 jan 2015,2015-01-31
november 25 2002,2002-11-25
january 26 1978,1978-01-26
01/02/2003,2003-02-01
mar 2 2011,2011-03-02
december 4 2012,2012-12-04
sunday 28 july 1985,1985-07-28
14 january 2015,2015-01-14
feb 2 2011,2011-02-02
21 april 1995,1995-04-21
october 24 2013,2013-10-24
wednesday 30 january 2019,2019-01-30
31 october 1987,1987-10-31
june 14 1984,1984-06-14
january 20 2002,2002-01-20
oct 7 1999,1999-10-07
december 4 2006,2006-12-04
5 december 2010,2010-12-05
sat 10 feb 1979,1979-02-10
april 18 2010,2010-04-18
october 24 1977,1977-10-24
february 7 2020,2020-02-07
september 10 1997,1997-09-10
september 12 1998,1998-09-12
wednesday 17 february 1988,1988-02-17
friday february 16 1990,1990-02-16
jun 8 2000,2000-06-08
may 21 1992,1992-05-21
sep 5 2007,2007-09-05
24 jul 1998,1998-07-24
30 november 1992,1992-11-30
may 7 1990,1990-05-07
fri 21 oct 2011,2011-10-21
4 october 2007,2007-10-04
september 30 2009,2009-09-30
feb 21 1974,1974-02-21
tue 17 oct 1972,1972-10-17
2 may 1974,1974-05-02
jan 20 2003,2003-01-20
nov 23 1972,1972-11-23
18 june 1979,1979-06-18
apr 21 1993,1993-04-21
jun 23 2011,2011-06-23
tuesday february 19 1991,1991-02-19
19 october 2010,2010-10-19
saturday march 13 1993,1993-03-13
saturday july 3 1993,1993-07-03
dec 21 1991,1991-12-21
24 october 2013,2013-10-24
13 november 1970,1970-11-13
8 january 2012,2012-01-08
22 aug 1998,1998-08-22
25 may 1999,1999-05-25
22/10/2009,2009-10-22
may 30 2018,2018-05-30
february 10 1985,1985-02-10
monday july 9 1990,1990-07-09
sunday march 3 2013,2013-03-03
28 april 1987,1987-04-28
october 5 1980,1980-10-05
7/29/96,1996-07-29
december 5 1998,1998-12-05
12 january 1998,1998-01-12
january 22 1971,1971-01-22
jul 28 2009,2009-07-28
friday august 10 1973,1973-08-10
sep 16 1998,1998-09-16
2 jan 1992,1993-01-02
18 june 2014,2014-06-18
june 19 1994,1994-06-19
october 14 2018,2018-10-14
6/16/82,1982-06-16
september 25 2004,2004-09-25
april 27 2014,2014-04-27
aug 11 2011,2011-08-11
october 13 1988,1988-10-13
25 aug 2007,2007-08-25
thursday 17 july 1975,1975-07-17
5 november 2002,2002-11-05
october 17 1992,1992-10-17
17 february 2006,2006-02-17
saturday 9 january 1993,1993-01-09
feb 21 1990,1990-02-21
18/09/1977,1977-09-18
oct 2 2016,2016-10-02
sunday october 15 1978,1978-10-15
thursday december 6 2007,2007-12-06
august 31 1996,1996-08-31
apr 11 1979,1979-04-11
10/4/17,2017-10-04
sunday december 8 2019,2019-12-08
2 january 1996,1996-01-02
mar 29 2011,2011-03-29
oct 14 2011,2011-10-14
february 8 1995,1995-02-08
20 november 1974,1974-11-20
3 july 1973,1973-07-03
december 1 1990,1990-12-01
19 june 2011,2011-06-19
july 27 2008,2008-07-27
jan 26 1994,1994-01-26
2 january 2001,2001-01-02
23/04/1984,1984-04-23
sep 24 1999,1999-09-24
25 september 1989,1989-09-25
20 oct 1996,1996-10-20
thursday 1 june 1989,1989-06-01
wed 19 may 1999,1999-05-19
saturday january 31 1981,1981-01-31
march 27 1985,1985-03-27
6 may 1998,1998-05-06
1 october 1995,1995-10-01
thursday april 17 1975,1975-04-17
8/29/99,1999-08-29
27 october 1981,1981-10-27
june 14 1994,1994-06-14
february 11 2018,2018-02-11
april 17 1975,1975-04-17
aug 24 2011,2011-08-24
tuesday february 25 2020,2020-02-25
january 15 1981,1981-01-15
october 26 1977,1977-10-26
august 21 1985,1985-08-21
dec 9 1976,1976-12-09
march 4 1990,1990-03-04
february 20 1984,1984-02-20
tuesday 31 july 1984,1984-07-31
23 august 2005,2005-08-23
8 july 2005,2005-07-08
august 18 1996,1996-08-18
july 3 2001,2001-07-03
april 29 1990,1990-04-29
22/02/2011,2011-02-22
2/3/97,1997-02-03
may 5 1981,1981-05-05
12/9/90,1990-12-09
friday april 15 1977,1977-04-15
3 november 2014,2014-11-03
27 april 1997,1997-04-27
1 june 2003,2003-06-01
september 25 1979,1979-09-25
saturday august 6 1988,1988-08-06
sunday 4 december 1977,1977-12-04
aug 15 2011,2011-08-15
dec 5 2018,2018-12-05
august 15 1987,1987-08-15
may 31 1984,1984-05-31
may 10 1995,1995-05-10
november 29 1977,1977-11-29
10/07/1971,1971-07-10
december 22 1985,1985-12-22
4 april 2019,2019-04-04
30 june 2012,2012-06-30
march 23 1973,1973-03-23
july 26 1975,1975-07-26
12 september 2012,2012-09-12
18 september 1977,1977-09-18
tuesday 6 may 1980,1980-05-06
december 28 2000,2000-12-28
6 june 1998,1998-06-06
5/26/80,1980-05-26
sun 8 mar 1981,1981-03-08
thursday march 12 2020,2020-03-12
tuesday august 14 1979,1979-08-14
7/22/74,1974-07-22
monday october 19 1970,1970-10-19
november 8 1978,1978-11-08
jun 20 2003,2003-06-20
september 6 2018,2018-09-06
tuesday january 17 2017,2017-01-17
apr 10 1976,1976-04-10
11 december 1984,1984-12-11
23 april 1999,1999-04-23
wednesday 25 june 1997,1997-06-25
28 december 2000,2000-12-28
27 oct 1972,1972-10-27
january 5 2009,2009-01-05
13 november 1976,1976-11-13
wednesday april 10 2019,2019-04-10
30 april 1972,1972-04-30
tue 9 apr 1985,1985-04-09
september 26 2017,2017-09-26
15 april 1982,1982-04-15
28 april 1999,1999-04-28
april 3 1973,1973-04-03
sunday september 9 2018,2018-09-09
july 24 2001,2001-07-24
26 july 1989,1989-07-26
may 22 1982,1982-05-22
november 25 1992,1992-11-25
25/09/1985,1985-09-25
6 september 1973,1973-09-06
tuesday october 3 2000,2000-10-03
12 jun 2020,2020-06-12
may 22 1971,1971-05-22
7/4/97,1997-07-04
wed 3 feb 2016,2016-02-03
thursday may 5 2011,2011-05-05
17 june 1971,1971-06-17
24 february 2008,2008-02-24
thursday 21 january 2016,2016-01-21
june 30 1995,1995-06-30
saturday 29 august 1992,1992-08-29
oct 19 1999,1999-10-19
mar 10 1993,1993-03-10
apr 23 2008,2008-04-23
oct 6 1985,1985-10-06
saturday september 11 1976,1976-09-11
sunday 18 february 2001,2001-02-18
saturday 20 may 2017,2017-05-20
24/01/1988,1988-01-24
1/21/08,2008-01-21
28 december 1993,1993-12-28
august 3 2011,2011-08-03
29 october 2001,2001-10-29
jun 28 2017,2017-06-28
january 14 1992,1992-01-14
july 2 2001,2001-07-02
friday february 26 1971,1971-02-26
2/5/91,1991-02-05
28 april 1991,1991-04-28
11/08/2002,2002-08-11
january 11 1989,1989-01-11
may 19 1979,1979-05-19
30 january 2019,2019-01-30
wednesday september 13 1972,1972-09-13
12 june 1976,1976-06-12
6/1/88,1988-06-01
saturday april 3 2004,2004-04-03
july 31 1973,1973-07-31
3 september 1993,1993-09-03
fri 3 dec 1982,1982-12-03
11/23/04,2004-11-23
mar 25 1970,1970-03-25
saturday february 5 1972,1972-02-05
jul 22 2011,2011-07-22
jun 25 1983,1983-06-25
03/01/1991,1991-01-03
september 11 1990,1990-09-11
wednesday november 13 2019,2019-11-13
thursday may 19 2011,2011-05-19
may 25 1998,1998-05-25
monday january 26 1976,1976-01-26
january 20 1971,1971-01-20
december 25 1979,1979-12-25
24 apr 1985,1985-04-24
december 3 1997,1997-12-03
august 10 1992,1992-08-10
6/1/78,1978-06-01
tuesday 19 february 1980,1980-02-19
thursday may 24 1990,1990-05-24
12 oct 1974,1974-10-12
9/13/84,1984-09-13
11 february 1988,1988-02-11
friday june 13 1975,1975-06-13
23 june 2011,2011-06-23
29 april 2009,2009-04-29
february 18 1986,1986-02-18
15 april 2003,2003-04-15
26 july 2006,2006-07-26
apr 16 2008,2008-04-16
sun 13 nov 1994,1994-11-13
2 september 2001,2001-09-02
june 5 2021,2021-06-05
apr 29 2008,2008-04-29
nov 27 1985,1985-11-27
14 november 1994,1994-11-14
16 nov 1983,1983-11-16
01/08/2007,2007-08-01
january 3 1993,1993-01-03
june 12 1980,1980-06-12
24 october 2009,2009-10-24
26 september 2012,2012-09-26
5 july 2016,2016-07-05
10 july 2017,2017-07-10
11/26/11,2011-11-26
23/09/2016,2016-09-23
05/04/1991,1991-04-05
may 7 2019,2019-05-07
9/27/15,2015-09-27
sunday 3 april 2011,2011-04-03
monday november 30 2009,2009-11-30
04/07/2005,2005-07-04
monday may 31 1971,1971-05-31
dec 25 2014,2014-12-25
16 march 2007,2007-03-16
monday december 11 1972,1972-12-11
20 march 1981,1981-03-20
march 23 2011,2011-03-23
january 25 2004,2004-01-25
march 30 2001,2001-03-30
tue 7 sep 2004,2004-09-07
january 19 2007,2007-01-19
september 22 1991,1991-09-22
friday april 10 1992,1992-04-10
june 22 2010,2010-06-22
feb 28 1975,1975-02-28
18 january 2002,2002-01-18
21 may 1988,1988-05-21
7/12/86,1986-07-12
tuesday april 12 2011,2011-04-12
sunday september 5 2004,2004-09-05
saturday august 11 1973,1973-08-11
31 march 2010,2010-03-31
thu 13 oct 1977,1977-10-13
18 september 1982,1982-09-18
23 jan 1978,1978-01-23
10 august 1994,1994-08-10
28 december 2011,2011-12-28
aug 17 1983,1983-08-17
may 23 2006,2006-05-23
8 oct 2018,2018-10-08
30 march 2016,2016-03-30
december 17 2016,2016-12-17
october 16 1978,1978-10-16
sun 30 dec 1973,1973-12-30
2/10/12,2012-02-10
30 december 1995,1995-12-30
june 22 1974,1974-06-22
may 2 2007,2007-05-02
17/10/1983,1983-10-17
aug 3 2006,2006-08-03
jul 26 1980,1980-07-26
18 feb 2010,2010-02-18
august 8 2006,2006-08-08
february 24 1996,1996-02-24
monday 5 january 1998,1998-01-05
wednesday october 17 1990,1990-10-17
01/10/1997,1997-10-01
thu 26 oct 2006,2006-10-26
8/5/80,1980-08-05
may 25 2008,2008-05-25
thu 26 jun 1986,1986-06-26
wednesday october 15 1980,1980-10-15
may 3 1989,1989-05-03
june 3 1984,1984-06-03
03/04/1991,1991-04-03
july 26 1999,1999-07-26
20 mar 2012,2012-03-20
dec 10 2017,2017-12-10
thu 19 nov 1998,1998-11-19
tue 27 may 2008,2008-05-27
jan 16 1973,1973-01-16
14 may 1975,1975-05-14
january 4 1999,1999-01-04
22 december 1997,1997-12-22
apr 14 1990,1990-04-14
20 jan 2002,2002-01-20
24 november 2018,2018-11-24
thu 15 apr 1982,1982-04-15
friday 10 december 1971,1971-12-10
23 november 1977,1977-11-23
april 23 2017,2017-04-23
october 18 2018,2018-10-18
7 july 1975,1975-07-07
july 7 1998,1998-07-07
may 16 1988,1988-05-16
31 march 1996,1996-03-31
march 3 1999,1999-03-03
friday 22 march 1974,1974-03-22
9/26/94,1994-09-26
19 september 2015,2015-09-19
may 7 2017,2017-05-07
fri 26 sep 1986,1986-09-26
9 may 2005,2005-05-09
3 february 1976,1976-02-03
aug 28 1975,1975-08-28
monday february 4 1974,1974-02-04
january 6 2005,2005-01-06
sunday july 6 1980,1980-07-06
monday 6 june 1983,1983-06-06
april 8 1986,1986-04-08
march 2 1978,1978-03-02
february 18 2004,2004-02-18
november 6 1999,1999-11-06
sep 23 2012,2012-09-23
17 sep 2009,2009-09-17
march 28 1980,1980-03-28
sunday january 26 1992,1992-01-26
thursday 3 december 2020,2020-12-03
sep 11 1977,1977-09-11
jun 10 2007,2007-06-10
24 july 2019,2019-07-24
may 24 2010,2010-05-24
mon 17 aug 2009,2009-08-17
2 january 1986,1986-01-02
friday january 18 2019,2019-01-18
saturday 9 august 1975,1975-08-09
6/13/15,2015-06-13
march 15 2005,2005-03-15
fri 1 apr 1983,1983-04-01
22 september 2015,2015-09-22
tuesday 5 june 2012,2012-06-05
14 sep 1984,1984-09-14
25 june 1988,1988-06-25
wednesday may 11 1988,1988-05-11
july 7 2003,2003-07-07
thursday july 16 1981,1981-07-16
jan 7 1990,1990-01-07
friday march 10 2006,2006-03-10
april 2 2018,2018-04-02
december 4 2017,2017-12-04
sunday august 17 1980,1980-08-17
3 dec 1998,1998-12-03
18 november 1984,1984-11-18
january 25 1991,1991-01-25
sat 29 oct 2011,2011-10-29
monday july 15 2013,2013-07-15
jan 3 1999,1999-01-03
june 21 1975,1975-06-21
august 15 2000,2000-08-15
saturday february 8 2020,2020-02-08
march 27 2019,2019-03-27
march 18 1976,1976-03-18
sunday august 5 2018,2018-08-05
6 april 2011,2011-04-06
friday july 31 2009,2009-07-31
sunday november 3 2019,2019-11-03
april 2 1998,1998-04-02
april 30 1987,1987-04-30
3 march 2005,2005-03-03
08/04/1972,1972-04-08
august 16 2004,2004-08-16
tuesday april 11 1989,1989-04-11
jul 17 1995,1995-07-17
jul 24 2001,2001-07-24
thursday july 11 1974,1974-07-11
january 25 2012,2012-01-25
may 9 2003,2003-05-09
march 16 1982,1982-03-16
jul 28 2020,2020-07-28
jul 25 2015,2015-07-25
thursday october 8 1981,1981-10-08
28 october 1976,1976-10-28
2 july 1979,1979-07-02
3 july 1999,1999-07-03
oct 30 2008,2008-10-30
june 24 1975,1975-06-24
mar 8 2016,2016-03-08
15 march 2011,2011-03-15
oct 24 2004,2004-10-24
sat 27 apr 2002,2002-04-27
monday 7 july 1986,1986-07-07
10 july 2010,2010-07-10
6 march 2009,2009-03-06
august 5 1981,1981-08-05
4 may 1997,1997-05-04
07/09/2007,2007-09-07
august 17 1977,1977-08-17
aug 30 1971,1971-08-30
monday february 27 1989,1989-02-27
5 march 1990,1990-03-05
september 16 2004,2004-09-16
jan 18 1996,1996-01-18
thursday october 27 2011,2011-10-27
jun 7 1973,1973-06-07
jul 7 1982,1982-07-07
april 7 1970,1970-04-07
april 15 1979,1979-04-15
16 june 1975,1975-06-16
may 4 1980,1980-05-04
dec 7 1987,1987-12-07
jan 31 1999,1999-01-31
september 24 2012,2012-09-24
april 3 1988,1988-04-03
29 july 1974,1974-07-29
july 22 1973,1973-07-22
5 december 2019,2019-12-05
september 28 2000,2000-09-28
saturday 19 september 1992,1992-09-19
thursday october 16 1986,1986-10-16
apr 19 1992,1992-04-19
feb 1 1989,1989-02-01
2 may 2014,2014-05-02
september 19 2009,2009-09-19
